index,id,title,category,question,prediction,references,best_reference,exact_match,contains_match,token_f1,char_f1,context_chars,prompt_tokens
10,13,,SHORT,ಚೆನ್ನೈ ಎಂಬ ಪದವು ಯಾವ ಭಾಷೆಯಿಂದ ಬಂದಿದೆ?,ಚೆನ್ನೈ ಎಂಬ ಪದವು ತೆಲುಗು ಭಾಷೆಯಿಂದ ಬಂದಿದೆ.,ದ್ರಾವಿಡ ಭಾಷೆ,ದ್ರಾವಿಡ ಭಾಷೆ,0,0,0.0,0.3636363636363636,599,356
11,15,,SHORT,"""ಮದ್ರಾಸ್"" ಎಂಬ ಪದವು ಯಾವುದರಿಂದ ಬಂದಿದೆ?","""ಮದ್ರಾಸ್"" ಎಂಬ ಪದವು 'ಮದರಾಸು' (Madras) ಪದದಿಂದ ಬಂದಿದೆ.",ಮದ್ರಾಸುಪಟ್ನಂ,ಮದ್ರಾಸುಪಟ್ನಂ,0,0,0.0,0.3999999999999999,599,355
12,16,,SHORT,"""ಚೆನ್ನೈ"" ನಗರವನ್ನು ಯಾವಗ ಮರುನಾಮಕರಣ ಮಾಡಲಾಯಿತು?",1766 ರಲ್ಲಿ.,1639,1639,0,0,0.0,0.3076923076923076,599,359
13,17,,SHORT,ಚೆನ್ನಪಟ್ಟಣದ ಇನ್ನೊಂದು ಹೆಸರೇನು?,ಮದರಾಸು.,ಚೆನ್ನಪುರಿ,ಚೆನ್ನಪುರಿ,0,0,0.0,0.2666666666666666,599,353
14,20,,SHORT,ಬೇಸಿಗೆ ಕಾಲ ಯಾವ ತಿಂಗಳಲ್ಲಿ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ?,ಮಾರ್ಚ್‌ಗೆ.,ಮಾರ್ಚಿ,ಮಾರ್ಚಿ,0,0,0.0,0.6666666666666667,711,405
15,21,,SHORT,ಬಖ್ತ್ ಬುಲಂದ್ ಶಹಾನ ನಂತರ ಸಿಂಹಾಸನವನ್ನು ಏರಿದವರು ಯಾರು?,ರಾಜಾ ಚಾಂದ್ ಸುಲ್ತಾನ್.,ರಾಜಾ ಚಾಂದ್ ಸುಲ್ತಾನ್,ರಾಜಾ ಚಾಂದ್ ಸುಲ್ತಾನ್,1,1,1.0,1.0,509,339
16,22,,SHORT,"ನಾಗಪುರ ನಗರವನ್ನು ಯಾರು ಸ್ಥಾಪಿಸಿದರು?
",ರಾಜಾ ಚಾಂದ್ ಸುಲ್ತಾನ್.,ರಾಜ ಬಖ್ತ್ ಬುಲಂದ್ ಶಹಾನು,ರಾಜ ಬಖ್ತ್ ಬುಲಂದ್ ಶಹಾನು,0,0,0.0,0.7222222222222222,509,328
17,23,,SHORT,"ನಾಗಪುರ ನಗರವನ್ನು ಸ್ಥಾಪಿಸಿದ ವರ್ಷ ಯಾವುದು?
",1706.,1702,1702,0,0,0.0,0.75,509,329
18,24,,SHORT,"ನಾಗಪುರ ಜಿಲ್ಲೆಯನ್ನು ಎಲ್ಲಿ ಸ್ಥಾಪಿಸಿದರು?
",ನಾಗಪುರ ಜಿಲ್ಲೆಯನ್ನು 1706ರಲ್ಲಿ ದೇವಗಡದ ರಾಜಾ ಚಾಂದ್ ಸುಲ್ತಾನ್ ಸ್ಥಾಪಿಸಿದರು.,ಛಿಂದವಡಾ ಜಿಲ್ಲೆಯಲ್ಲಿ,ಛಿಂದವಡಾ ಜಿಲ್ಲೆಯಲ್ಲಿ,0,0,0.0,0.4358974358974359,509,328
19,27,,SHORT,"ಅಸಫ್ ಝಾನ ಮತ್ತೊಂದು ಹೆಸರು ಏನು?
",ಅಸಫ್ ಝಾನ (Asaf Jah),ನಿಜಾಮ್-ಉಲ್-ಮುಲ್ಕ್,ನಿಜಾಮ್-ಉಲ್-ಮುಲ್ಕ್,0,0,0.0,0.2068965517241379,702,373
20,28,,SHORT,"1687ರಲ್ಲಿ ಹೈದರಾಬಾದ್ ಅನ್ನು ದಾಳಿ ಮಾಡಿದವರು ಯಾರು?
",1687 ರಲ್ಲಿ ಔರಂಗಜೇಬನು ಹೈದರಾಬಾದಿನ ಮೇಲೆ ದಾಳಿ ಮಾಡಿದನು.,ಮುಘಲ್ ದೊರೆ ಔರಂಗಜೇಬನು,ಮುಘಲ್ ದೊರೆ ಔರಂಗಜೇಬನು,0,0,0.2,0.5245901639344261,702,382
21,29,,SHORT,ಹೈದರಾಬಾದ್ ನ ಬೆಳವಣಿಗೆ ಯಾವ ನಗರದ ಮೇಲೆ ವ್ಯತಿರಿಕ್ತ ಪರಿಣಾಮ ಬೀರಿತು?,ಹೈದರಾಬಾದ್‌ನ ಬೆಳವಣಿಗೆಯು ಗೋಲ್ಕಂಡದ (ಗುಜರಾತ್‌ನ) ಮೇಲೆ ವ್ಯತಿರಿಕ್ತ ಪರಿಣಾಮ ಬೀರಿತು. ಇದು ಗೋಲ್ಕಂಡದ ಆರ್ಥಿಕ ಮತ್ತು ರಾಜಕೀಯ ಪ್ರಾಮುಖ್ಯತೆಯನ್ನು ಕಡಿಮೆ ಮಾಡಿತು.,ಗೋಲ್ಕಂಡ,ಗೋಲ್ಕಂಡ,0,1,0.0,0.1111111111111111,702,389
22,31,,SHORT,"ಹೈದರಾಬಾದ್ ಅನ್ನು ಆಳಿದ ಸಂಸ್ಥಾನ ಯಾವುದು?
",ಹೈದರಾಬಾದ್‌ನ ನಿಜಾಮರು.,ಅಸಾಫ್ ಜಾಹೀ ಸಾಮ್ರಾಜ್ಯ,ಅಸಾಫ್ ಜಾಹೀ ಸಾಮ್ರಾಜ್ಯ,0,0,0.0,0.4444444444444444,702,378
23,32,,SHORT,"ಹೈದರಾಬಾದ್ ಅನ್ನು ಎಷ್ಟು ಜನ ನಿಜಾಮರು ಆಳಿದರು?
",7 ನಿಜಾಮರು.,ಏಳು,ಏಳು,0,0,0.0,0.18181818181818182,702,379
24,35,,SHORT,ಯಾವಾಗ ನಾವು ಇಪ್ಪತ್ತೈದು ಸಾವಿರ ಮತ್ತುಇಪ್ಪತ್ತೊಂದು ಅಡಿ ಎತ್ತರದಲ್ಲಿದ್ದೇವೆ ಎಂದು ಕ್ರೌಲಿ ಹೇಳಿದರು?,"ಅವರು ಸೆಪ್ಟಂಬರ್‌ 1, 1905 ರಂದು.",ಆಗಸ್ಟ್‌ 31ರಂದು,ಆಗಸ್ಟ್‌ 31ರಂದು,0,0,0.0,0.5555555555555555,900,484
25,36,,SHORT,ತಂಡದ ಕೆಲವು ಸದಸ್ಯರ ಹೆಸರೇನು?,"ರೇಮಾಂಡ್‌, ಪಾಚೆ ಮತ್ತು ಸಲ್ಮಾ.",ಡಾ.ಜೂಲ್ಸ್‌ ಜ್ಯಾಕೋಟ್‌-ಗಿಲ್ಲಾರ್ಮೋಡ್ರ,ಡಾ.ಜೂಲ್ಸ್‌ ಜ್ಯಾಕೋಟ್‌-ಗಿಲ್ಲಾರ್ಮೋಡ್ರ,0,0,0.0,0.45283018867924524,900,466
26,37,,SHORT,"ಪರ್ವತಾರೋಹಿಗಳು ಯಾವ ಪರ್ವತವನ್ನು ಹತ್ತುತ್ತಿದ್ದರು?
",ಅವರು 1905ರ ಕಾಂಚನ್‌ಜುಂಗಾ ಅನ್ವೇಶಣೆಯಲ್ಲಿ (Kanchenjunga) ಪರ್ವತಾರೋಹಣ ಮಾಡುತ್ತಿದ್ದರು.,ಕಾಂಚನ್‌ಜುಂಗಾ,ಕಾಂಚನ್‌ಜುಂಗಾ,0,1,0.25,0.29629629629629634,900,475
27,39,,SHORT,ಮೊದಲ ಪರ್ವತಾರೋಹಣ ಯಾತ್ರೆ ಯಾವುದು?,1905ರ ಕಾಂಚನ್‌ಜುಂಗಾ ಅನ್ವೇಶಣೆಯ-1905.,ಕಾಂಚನ್‌ಜುಂಗಾ,ಕಾಂಚನ್‌ಜುಂಗಾ,0,1,0.4,0.5714285714285715,900,471
28,40,,SHORT,ಯಾವ ಕಾರಣಕ್ಕಾಗಿ ಐದು ದಿನಗಳ ಹಿಂದೆ ಶಿಬಿರಕ್ಕೆ ಹಿಂತಿರುಗಬೇಕಾಯಿತು?,ಅವರು ತೀವ್ರವಾದ ಹಿಮಪಾತದ ಕಾರಣದಿಂದಾಗಿ ಮತ್ತು ತಮ್ಮ ಸಾಮಾನು ಸರಂಜಾಮು ಭಾರವಾದ ಕಾರಣ ಬಲವಂತವಾಗಿ ಶಿಬಿರಕ್ಕೆ ಹಿಂತಿರುಗಬೇಕಾಯಿತು.,ಹಿಮಪಾತವಾಗುವಂತಹ ಗಂಡಾಂತರಿವಿದ್ದುದ್ದರಿಂದಾಗಿ,ಹಿಮಪಾತವಾಗುವಂತಹ ಗಂಡಾಂತರಿವಿದ್ದುದ್ದರಿಂದಾಗಿ,0,0,0.0,0.5522388059701493,900,475
29,42,,SHORT,ಗೋಪಾಲ ಕೃಷ್ಣ ಗೋಖಲೆಯವರು ಮರಣ ಹೊಂದಿದ ವರ್ಷ? ,1915.,1915,1915,1,1,1.0,1.0,822,399
30,45,,SHORT,ಮಧ್ಯಕಾಲೀನ ನಾಯಕರೆಂದು ಹೆಸರನ್ನು ಪಡೆದವರು ಯಾರು?,"ಅನ್ನಿ ಬೆಸೆಂಟ್, ಬಾಲ ಗಂಗಾಧರ ತಿಲಕ್, ಮತ್ತು ಜವಹರಲಾಲ್ ನೆಹರು.",ಅನ್ನಿ ಬೆಸೆಂಟ್ ಮತ್ತು ಬಾಲ ಗಂಗಾಧರ ತಿಲಕ್,ಅನ್ನಿ ಬೆಸೆಂಟ್ ಮತ್ತು ಬಾಲ ಗಂಗಾಧರ ತಿಲಕ್,0,0,0.8571428571428571,0.8266666666666667,822,400
31,46,,SHORT,ಬಾಲ್ಯದಲ್ಲಿ ನೆಹರು ಅವರ ಮೇಲೆ ಯಾರು ಹೆಚ್ಚು ಪ್ರಭಾವ ಬೀರಿದ್ದರು?,ಅನ್ನಿ ಬೆಸೆಂಟ್.,ಬೆಸೆಂಟ್,ಬೆಸೆಂಟ್,0,1,0.6666666666666666,0.7368421052631579,822,401
32,47,,SHORT,ವಿಶ್ವ ಮಹಾಯುದ್ಧ ದಲ್ಲಿ ಯಾವುದರ ಕೊರತೆ ಕಂಡಿತು?,ಬೆಳ್ಳಿ.,ಬೆಳ್ಳಿ ಲೋಹಕ್ಕೆ ತೀವ್ರ ಕೊರತೆ,ಬೆಳ್ಳಿ ಲೋಹಕ್ಕೆ ತೀವ್ರ ಕೊರತೆ,0,1,0.4,0.41379310344827586,424,262
33,48,,SHORT,ಭಾರತೀಯ ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ (ಆರ್‌ಬಿಐ) ಯಾವಾಗ ಸ್ಥಾಪಿಸಲಾಯಿತು?,1935.,1935ರಲ್ಲಿ,1935ರಲ್ಲಿ,0,1,0.0,0.6153846153846153,424,268
34,49,,SHORT,ರಿಸೆರ್ವೆ ಬ್ಯಾಂಕ್ ಸ್ವಾತಂತ್ರ್ಯದ ನಂತರ ಯಾವುದರ ಮುದ್ರಣವನ್ನು ರದ್ದುಗೊಳಿಸಿತು?,10 ಸಾವಿರ ಮುಖಬೆಲೆಯ ನೋಟು.,10 ಸಾವಿರ ಮುಖಬೆಲೆಯ ನೋಟನ್ನೂ,10 ಸಾವಿರ ಮುಖಬೆಲೆಯ ನೋಟನ್ನೂ,0,0,0.75,0.8780487804878049,424,270
35,51,,SHORT,ಜವಾಹರಲಾಲ್ ನೆಹರು ರವರ ಮುಸ್ಲಿಂ ಲೀಗ್ ಪತ್ರಿಕೆ ಯಾವುದು?,'ಡಾನ್' (The Dawn).,ಡಾನ್,ಡಾನ್,0,1,0.5,0.5333333333333333,969,453
36,52,,SHORT,"ಬರ್ಮಾದ ಈಗಿನ ಹೆಸರು ಏನು?
",ಮಯನ್ಮಾರ್.,ಮಯನ್ಮಾರ್,ಮಯನ್ಮಾರ್,1,1,1.0,1.0,969,437
37,53,,SHORT,"ಪಾಕಿಸ್ತಾನಕ್ಕೆ ಬೇಡಿಕೆ ಇಟ್ಟವರು ಯಾರು?
",ಮುಸ್ಲಿಂ ಲೀಗ್.,ಜಿನ್ನಾ,ಜಿನ್ನಾ,0,0,0.0,0.23529411764705885,969,444
38,54,,SHORT,"ಮುಸ್ಲಿಂ ಲೀಗ್ ನ ಮುಖವಾಣಿ ಯಾವುದು?
",'ಡಾನ್' (The Dawn),"ಪಾಕಿಸ್ತಾನ ನಮ್ಮ ಏಕೈಕ ಬೇಡಿಕೆಯಾಗಿದೆ, ಮತ್ತು ಖಂಡಿತ ದೈವಸಾಕ್ಷಿಯಾಗಿ ಅದನ್ನು ನಾವು ಪಡೆಯುತ್ತೇವೆ""","ಪಾಕಿಸ್ತಾನ ನಮ್ಮ ಏಕೈಕ ಬೇಡಿಕೆಯಾಗಿದೆ, ಮತ್ತು ಖಂಡಿತ ದೈವಸಾಕ್ಷಿಯಾಗಿ ಅದನ್ನು ನಾವು ಪಡೆಯುತ್ತೇವೆ""",0,0,0.0,0.09523809523809523,969,444
39,55,,SHORT,"1942 ರಲ್ಲಿ ಬರ್ಮಾದ ಮುಖಾಂತರ ಭಾರತದ ಮೇಲೆ ಯಾರು ಆಕ್ರಮಣ ಮಾಡಿದರು?
",ಜಪಾನ್.,ಜಪಾನ್,ಜಪಾನ್,1,1,1.0,1.0,969,452
40,56,,SHORT,ಕಾಂಗ್ರೆಸ್ ಅನ್ನು ವಿರೋಧಿಸುತ್ತಾ ಬಂದವರು ಯಾರು?,ಮುಸ್ಲಿಂ ಲೀಗ್.,ಜಿನ್ನಾ,ಜಿನ್ನಾ,0,0,0.0,0.23529411764705885,969,443
41,57,,SHORT,ಭಾರತದ ಸ್ವಾತಂತ್ರ್ಯಕ್ಕೆ ಯಾರ ಕೊಡುಗೆ ಅಪ್ರತಿಮವಾದುದು?,ಮಹಾತ್ಮ ಗಾಂಧಿಯವರು.,ಗಾಂಧಿಯ,ಗಾಂಧಿಯ,0,1,0.0,0.5714285714285715,608,335
42,58,,SHORT,"ಗಾಂಧಿ ರಾಷ್ಟ್ರೀಯ ನಾಯಕರಾದ ನಂತರದ ೨೦ ವರ್ಷಗಳಲ್ಲಿ, ಭಾರತೀಯರು ಏನನ್ನು ಕಲಿತರು?",ಭಾರತೀಯರು ‘ರಾಷ್ಟ್ರೀಯ ಆತ್ಮಗೌರವ ಮತ್ತು ಆತ್ಮವಿಶ್ವಾಸ’ವನ್ನು ಕಲಿತರು.,ರಾಷ್ಟ್ರೀಯ ಆತ್ಮಗೌರವ ಮತ್ತು ಆತ್ಮವಿಶ್ವಾಸವನ್ನು,ರಾಷ್ಟ್ರೀಯ ಆತ್ಮಗೌರವ ಮತ್ತು ಆತ್ಮವಿಶ್ವಾಸವನ್ನು,0,1,0.8,0.8444444444444443,608,342
43,60,,SHORT,"ಅಕ್ಟೊಬರ್ ೨ ರಂದು ಬ್ಯಾಂಕಾಕ್ ರೇಡಿಯೋದಲ್ಲಿ ಮಾತನಾಡಿದ್ದ ಬೋಸ್ ರವರು ಗಾಂಧೀಜಿಯವರ ಬಗ್ಗೆ ಏನನ್ನು ನೆನಪಿಸಿಕೊಂಡರು ?
",ಅವರು ಗಾಂಧೀಜಿಯವರ 75ನೇ ಹುಟ್ಟುಹಬ್ಬವನ್ನು ನೆನಪಿಸಿಕೊಂಡರು. ಅವರು 1920ರ ದಶಕದಲ್ಲಿ ಗಾಂಧೀಜಿಯವರ liderazgo ಮತ್ತು ಅವರ ‘ಅಸಹಕಾರ’ ಚಳವಳಿಯ  ಬಗ್ಗೆ  ತಿಳಿದರು,ಗಾಂಧಿಯ 75ನೇ ಹುಟ್ಟುಹಬ್ಬ,ಗಾಂಧಿಯ 75ನೇ ಹುಟ್ಟುಹಬ್ಬ,0,0,0.10526315789473684,0.29850746268656714,608,357
44,61,,SHORT,ಗಾಂಧೀಜಿಯವರ ಜನ್ಮ ದಿನಾಚರಣೆ ಯಾವಾಗ?,2 ottobre 1869.,1943ರ ಅಕ್ಟೋಬರ್ 2,1943ರ ಅಕ್ಟೋಬರ್ 2,0,0,0.3333333333333333,0.23076923076923075,608,332
45,62,,SHORT,ಅತ್ಯಂತ ಶ್ರೇಷ್ಠ ನಾಯಕ ಯಾರು?,ಮಹಾತ್ಮ ಗಾಂಧಿಯವರು.,ಗಾಂಧಿ,ಗಾಂಧಿ,0,1,0.0,0.5,608,328
46,64,,SHORT,"ಯಾವ ಘಟನೆಯಲ್ಲಿ ಸುಭಾಷ್ ಚಂದ್ರ ಬೋಸ್ ತೀವ್ರವಾಗಿ ಗಾಯಗೊಂಡರು?
",1945ರ ಆಗಸ್ಟ್‌ 18ರಂದು.,ವಿಮಾನ ಅಪಘಾತ,ವಿಮಾನ ಅಪಘಾತ,0,0,0.0,0.0,613,344
47,65,,SHORT,"ಪಾಕಿಸ್ತಾನವು ಕಾಶ್ಮೀರದ ಎಷ್ಟು ಭೂ ಭಾಗದ ಮೇಲೆ ಹಿಡಿತ ಹೊಂದಿದೆ?
",ಪಾಕಿಸ್ತಾನವು ಕಾಶ್ಮೀರದ 37% ಭೂ ಭಾಗದ ಮೇಲೆ ಹಿಡಿತ ಹೊಂದಿದೆ.,ಮೂರನೇ ಒಂದು ಭಾಗದ,ಮೂರನೇ ಒಂದು ಭಾಗದ,0,0,0.18181818181818182,0.42857142857142855,1598,707
48,66,,SHORT,ಭಾರತ ವಿಭಜನೆಯ ಸಮಯದಲ್ಲಿ ಕಾಶ್ಮೀರದ ರಾಜ ಯಾರನ್ನು ಭೇಟಿ ಮಾಡಿದ?,ಮೌಂಟ್‌ಬ್ಯಾಟನ್‌ರನ್ನು ಭೇಟಿ ಮಾಡಿದ ಮಹಾರಾಜ.,ಮೌಂಟ್‌ಬ್ಯಾಟನ್‌ರನ್ನು,ಮೌಂಟ್‌ಬ್ಯಾಟನ್‌ರನ್ನು,0,1,0.4,0.7169811320754718,1598,707
49,67,,SHORT,"1947ರಲ್ಲಿ ಕಾಶ್ಮೀರದಲ್ಲಿ ಮುಸ್ಲಿಮರ ಜನಸಂಖ್ಯೆಯ ಪ್ರಮಾಣ ಎಷ್ಟು?
",77%,ಶೇಕಡಾ 77ರಷ್ಟು,ಶೇಕಡಾ 77ರಷ್ಟು,0,1,0.0,0.2857142857142857,1598,710
50,69,,SHORT,"ಭಾರತವು ಕಾಶ್ಮೀರದ ಎಷ್ಟು ಭೂ ಭಾಗದ ಮೇಲೆ ಹಿಡಿತ ಹೊಂದಿದೆ?
",ಭಾರತವು ಕಾಶ್ಮೀರದ 3/5 ಭಾಗದ ಮೇಲೆ ಹಿಡಿತ ಹೊಂದಿದೆ.,ಅರ್ಧದಷ್ಟು ಪ್ರದೇಶದ,ಅರ್ಧದಷ್ಟು ಪ್ರದೇಶದ,0,0,0.0,0.34615384615384615,1598,705
51,70,,SHORT,"ಕಾಶ್ಮೀರವು ಯಾವ ದೇಶದೊಡನೆ ಗಡಿಯನ್ನು ಹಂಚಿಕೊಂಡಿದೆ?
",ಪೂರ್ವದಲ್ಲಿ (ಪೂರ್ವ ಕಾಶ್ಮೀರ) ಪಾಕಿಸ್ತಾನದೊಂದಿಗೆ.,ಪಾಕಿಸ್ತಾನ,ಪಾಕಿಸ್ತಾನ,0,1,0.0,0.38297872340425526,1598,706
52,71,,SHORT,ಮುಸ್ಲಿಂ-ಬಹುಸಂಖ್ಯಾತ ಪ್ರದೇಶ ಯಾವುದು?,ಪೂರ್ವ ಕಾಶ್ಮೀರ (ಈಗಿನ ಜಮ್ಮು ಮತ್ತು ಕಾಶ್ಮೀರ).,ಕಾಶ್ಮೀರ,ಕಾಶ್ಮೀರ,0,1,0.2857142857142857,0.35,1598,702
53,72,,SHORT,"ಭಾರತ ಮತ್ತು ಪಾಕಿಸ್ತಾನದ ವಿಭಜನೆಗೆ ಏನು ಕಾರಣವಾಯಿತು?
",ಇದು ಬ್ರಿಟಿಷ್‌ ಆಳ್ವಿಕೆಯಲ್ಲಿ ಭಾರತದೊಂದಿಗೆ ಸೇರಿರುವ ರಾಜ್ಯಗಳ ಆಧಾರದ ಮೇಲೆ ನಡೆದ ಒಂದು ರಾಜಕೀಯ ವಿಭಜನೆಯಾಗಿದೆ.,ಬಹಿರಂಗ ಜನಾಭಿಪ್ರಾಯವನ್ನು ಎಂದಿಗೂ ನಡೆಸಲಿಲ್ಲವಾದ್ದರಿಂದ,ಬಹಿರಂಗ ಜನಾಭಿಪ್ರಾಯವನ್ನು ಎಂದಿಗೂ ನಡೆಸಲಿಲ್ಲವಾದ್ದರಿಂದ,0,0,0.0,0.5891472868217055,1598,707
54,74,,SHORT,ಯಾವ ಕಣಿವೆಯಲ್ಲಿ ಅತಿದೊಡ್ಡ ಮುಸ್ಲಿಂ ಗುಂಪು ಮತ್ತು ಅರ್ಧಕ್ಕಿಂತ ಹೆಚ್ಚು ಜನಸಂಖ್ಯೆಯನ್ನು ಹೊಂದಿದೆ?,ಜಮ್ಮು ಮತ್ತು ಕಾಶ್ಮೀರ.,ಕಾಶ್ಮೀರ,ಕಾಶ್ಮೀರ,0,1,0.5,0.5833333333333334,1598,717
55,75,,SHORT,ಸಂವಿಧಾನವು ಎಷ್ಟು ವಿಧದ ರಾಜ್ಯಗಳನ್ನು ಹೊಂದಿದೆ?,"1950 ರ ಸಂವಿಧಾನವು 14 ವಿಧದ ರಾಜ್ಯಗಳನ್ನು ಹೊಂದಿತ್ತು: 1. ಪಾರ್ಟ್ ಎ (1950 ರಲ್ಲಿದ್ದ 11 ರಾಜ್ಯಗಳು), 2. ಪಾರ್ಟ್ ಬಿ (1950 ರಲ್ಲಿದ್ದ 11 ರಾಜ್ಯಗಳು),",ಮೂರು,ಮೂರು,0,0,0.0,0.03809523809523809,1660,706
56,76,,SHORT,ಫಜಲ್ ಅಲಿ ಕಮಿಷನ್ ನ ಮೇಲ್ವಿಚಾರಣೆ ಯಾರು ಮಾಡಿದರು ?,"1955 ರಲ್ಲಿ ಭಾರತದ ರಾಜ್ಯಗಳ ಮರುಸಂಘಟನೆಗಾಗಿ ಆಯೋಗವು ವರದಿಯನ್ನು ರಚಿಸಿತು. ಏಳನೇ ತಿದ್ದುಪಡಿಯಲ್ಲಿ, ಭಾಗ ಎ, ಭಾಗ ಬಿ, ಭಾಗ ಸಿ, ಮತ್ತು ಭಾಗ ಡಿ ರಾಜ್ಯಗಳ (Part A, Part B, Part C, and Part D states was",ಗೋವಿಂದ ಬಲ್ಲಭ್ ಪಂತ್,ಗೋವಿಂದ ಬಲ್ಲಭ್ ಪಂತ್,0,0,0.0,0.19607843137254904,1660,713
57,77,,SHORT,ಹೊಸ ಗಣ ರಾಜ್ಯವನ್ನು ರಾಜ್ಯಗಳ ಒಕ್ಕೂಟವೆಂದು ಘೋಷಿಸಿದವರು ಯಾರು?,ಜವಾಹರಲಾಲ್ ನೆಹರು.,ನೆಹರು,ನೆಹರು,0,1,0.6666666666666666,0.5263157894736842,1660,713
